SIRA NO;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE
57;XBANA_CFNNTLER;BIST ANA GETIRI (EURO);BIST MAIN RETURN (EURO);EUR;06/01/2023;5538.15
58;XHARZ_CFCNTLTL;BIST HALKA ARZ GETIRI;BIST IPO RETURN;TRY;06/01/2023;55557.09
59;XHARZ_CFCNTLUS;BIST HALKA ARZ GETIRI (ABD DOLARI);BIST IPO RETURN (USD);USD;06/01/2023;17242.44
60;XHARZ_CFCNTLER;BIST HALKA ARZ GETIRI (EURO);BIST IPO RETURN (EURO);EUR;06/01/2023;19229.39
61;XKOBI_CFNNTLTL;BIST KOBI SANAYI GETIRI;BIST SME INDUSTRIAL RETURN;TRY;06/01/2023;10522.75
62;XKOBI_CFNNTLUS;BIST KOBI SANAYI GETIRI (ABD DOLARI);BIST SME INDUSTRIAL RETURN (USD);USD;06/01/2023;3265.79
63;XKOBI_CFNNTLER;BIST KOBI SANAYI GETIRI (EURO);BIST SME INDUSTRIAL RETURN (EURO);EUR;06/01/2023;3642.13
64;XTMTU_CFNNTLTL;BIST TEMETTU GETIRI;BIST DIVIDEND RETURN;TRY;06/01/2023;7349.1
65;XTMTU_CFNNTLER;BIST TEMETTU GETIRI (EURO);BIST DIVIDEND RETURN (EURO);EUR;06/01/2023;2543.67
66;XTMTU_CFNNTLUS;BIST TEMETTU GETIRI (ABD DOLARI);BIST DIVIDEND RETURN (USD);USD;06/01/2023;2280.83
67;XTM25_CFNNTLTL;BIST TEMETTU 25 GETIRI;BIST DIVIDEND 25 RETURN;TRY;06/01/2023;10524.83
68;XTM25_CFNNTLUS;BIST TEMETTU 25 GETIRI (ABD DOLARI);BIST DIVIDEND 25 RETURN (USD);USD;06/01/2023;3266.44
69;XTM25_CFNNTLER;BIST TEMETTU 25 GETIRI (EURO);BIST DIVIDEND 25 RETURN (EURO);EUR;06/01/2023;3642.85
70;XKTUM_CFNNTLTL;BIST KATILIM TUM GETIRI;BIST PARTICIPATION ALL SHARES RETURN;TRY;06/01/2023;5280.37
71;XKTUM_CFNNTLUS;BIST KATILIM TUM GETIRI (ABD DOLARI);BIST PARTICIPATION ALL SHARES RETURN (USD);USD;06/01/2023;1638.79
72;XKTUM_CFNNTLER;BIST KATILIM TUM GETIRI (EURO);BIST PARTICIPATION ALL SHARES RETURN (EURO);EUR;06/01/2023;1827.64
73;XK100_CFCNTLTL;BIST KATILIM 100 GETIRI;BIST PARTICIPATION 100 RETURN;TRY;06/01/2023;5394.58
74;XK100_CFCNTLUS;BIST KATILIM 100 GETIRI (ABD DOLARI);BIST PARTICIPATION 100 RETURN (USD);USD;06/01/2023;1674.24
75;XK100_CFCNTLER;BIST KATILIM 100 GETIRI (EURO);BIST PARTICIPATION 100 RETURN (EURO);EUR;06/01/2023;1867.17
76;XK050_CFCNTLTL;BIST KATILIM 50 GETIRI;BIST PARTICIPATION 50 RETURN;TRY;06/01/2023;5757.21
77;XK050_CFCNTLUS;BIST KATILIM 50 GETIRI (ABD DOLARI);BIST PARTICIPATION 50 RETURN (USD);USD;06/01/2023;1786.78
78;XK050_CFCNTLER;BIST KATILIM 50 GETIRI (EURO);BIST PARTICIPATION 50 RETURN (EURO);EUR;06/01/2023;1992.68
79;XK030_CFCNTLTL;BIST KATILIM 30 GETIRI;BIST PARTICIPATION 30 RETURN;TRY;06/01/2023;5840.71
80;XK030_CFCNTLUS;BIST KATILIM 30 GETIRI (ABD DOLARI);BIST PARTICIPATION 30 RETURN (USD);USD;06/01/2023;1812.7
81;XK030_CFCNTLER;BIST KATILIM 30 GETIRI (EURO);BIST PARTICIPATION 30 RETURN (EURO);EUR;06/01/2023;2021.58
82;XSRDK_CFCNTLTL;BIST KATILIM SURDURULEBILIRLIK GETIRI;BIST PARTICIPATION SUSTAINABILITY RETURN;TRY;06/01/2023;5812.08
83;XSRDK_CFCNTLUS;BIST KATILIM SURDURULEBILIRLIK GETIRI (ABD DOLARI);BIST PARTICIPATION SUSTAINABILITY RETURN (USD);USD;06/01/2023;1803.81
84;XSRDK_CFCNTLER;BIST KATILIM SURDURULEBILIRLIK GETIRI (EURO);BIST PARTICIPATION SUSTAINABILITY RETURN (EURO);EUR;06/01/2023;2011.68
85;XKTMT_CFCNTLTL;BIST KATILIM TEMETTU GETIRI;BIST PARTICIPATION DIVIDEND RETURN;TRY;06/01/2023;5610.01
86;XKTMT_CFCNTLUS;BIST KATILIM TEMETTU GETIRI (ABD DOLARI);BIST PARTICIPATION DIVIDEND RETURN (USD);USD;06/01/2023;1741.1
87;XKTMT_CFCNTLER;BIST KATILIM TEMETTU GETIRI (EURO);BIST PARTICIPATION DIVIDEND RETURN (EURO);EUR;06/01/2023;1941.73
88;XKURY_CFNNTLTL;BIST KURUMSAL YONETIM GETIRI;BIST CORPORATE GOVERNANCE RETURN;TRY;06/01/2023;7627.15
89;XKURY_CFNNTLUS;BIST KURUMSAL YONETIM GETIRI (ABD DOLARI);BIST CORPORATE GOVERNANCE RETURN (USD);USD;06/01/2023;2367.13
90;XKURY_CFNNTLER;BIST KURUMSAL YONETIM GETIRI (EURO);BIST CORPORATE GOVERNANCE RETURN (EURO);EUR;06/01/2023;2639.91
91;XUSRD_CFCNTLTL;BIST SURDURULEBILIRLIK GETIRI;BIST SUSTAINABILITY RETURN;TRY;06/01/2023;8020.64
92;XUSRD_CFCNTLUS;BIST SURDURULEBILIRLIK GETIRI (ABD DOLARI);BIST SUSTAINABILITY RETURN (USD);USD;06/01/2023;2489.25
93;XUSRD_CFCNTLER;BIST SURDURULEBILIRLIK GETIRI (EURO);BIST SUSTAINABILITY RETURN (EURO);EUR;06/01/2023;2776.1
94;XSD25_CFCNTLTL;BIST SURDURULEBILIRLIK 25 GETIRI;BIST SUSTAINABILITY 25 RETURN;TRY;06/01/2023;6337.87
95;XSD25_CFCNTLUS;BIST SURDURULEBILIRLIK 25 GETIRI (ABD DOLARI);BIST SUSTAINABILITY 25 RETURN (USD);USD;06/01/2023;1966.99
96;XSD25_CFCNTLER;BIST SURDURULEBILIRLIK 25 GETIRI (EURO);BIST SUSTAINABILITY 25 RETURN (EURO);EUR;06/01/2023;2193.66
97;XUSIN_CFNNTLTL;BIST SINAI GETIRI;BIST INDUSTRIALS RETURN;TRY;06/01/2023;20835.55
98;XUSIN_CFNNTLUS;BIST SINAI GETIRI (ABD DOLARI);BIST INDUSTRIALS RETURN (USD);USD;06/01/2023;6466.42
99;XUSIN_CFNNTLER;BIST SINAI GETIRI (EURO);BIST INDUSTRIALS RETURN (EURO);EUR;06/01/2023;7211.59
100;XGIDA_CFNNTLTL;BIST GIDA ICECEK GETIRI;BIST FOOD BEVERAGE RETURN;TRY;06/01/2023;7893.4
101;XGIDA_CFNNTLUS;BIST GIDA ICECEK GETIRI (ABD DOLARI);BIST FOOD BEVERAGE RETURN (USD);USD;06/01/2023;2449.76
102;XGIDA_CFNNTLER;BIST GIDA ICECEK GETIRI (EURO);BIST FOOD BEVERAGE RETURN (EURO);EUR;06/01/2023;2732.06
103;XKMYA_CFNNTLTL;BIST KIMYA PETROL PLASTIK GETIRI;BIST CHEM. PETROL PLASTIC RETURN;TRY;06/01/2023;29062.27
104;XKMYA_CFNNTLUS;BIST KIMYA PETROL PLASTIK GETIRI (ABD DOLARI);BIST CHEM. PETROL PLASTIC RETURN (USD);USD;06/01/2023;9019.63
105;XKMYA_CFNNTLER;BIST KIMYA PETROL PLASTIK GETIRI (EURO);BIST CHEM. PETROL PLASTIC RETURN (EURO);EUR;06/01/2023;10059.02
106;XMADN_CFNNTLTL;BIST MADENCILIK GETIRI;BIST MINING RETURN;TRY;06/01/2023;7772.33
107;XMADN_CFNNTLUS;BIST MADENCILIK GETIRI (ABD DOLARI);BIST MINING RETURN (USD);USD;06/01/2023;2412.18
108;XMADN_CFNNTLER;BIST MADENCILIK GETIRI (EURO);BIST MINING RETURN (EURO);EUR;06/01/2023;2690.15
109;XMANA_CFNNTLTL;BIST METAL ANA GETIRI;BIST BASIC METAL RETURN;TRY;06/01/2023;31977.34
110;XMANA_CFNNTLUS;BIST METAL ANA GETIRI (ABD DOLARI);BIST BASIC METAL RETURN (USD);USD;06/01/2023;9924.34
111;XMANA_CFNNTLER;BIST METAL ANA GETIRI (EURO);BIST BASIC METAL RETURN (EURO);EUR;06/01/2023;11067.98
112;XMESY_CFNNTLTL;BIST METAL ESYA MAKINA GETIRI;BIST METAL PRODUCTS MACH. RETURN;TRY;06/01/2023;27986.21
113;XMESY_CFNNTLER;BIST METAL ESYA MAKINA GETIRI (EURO);BIST METAL PRODUCTS MACH. RETURN (EURO);EUR;06/01/2023;9686.57
114;XMESY_CFNNTLUS;BIST METAL ESYA MAKINA GETIRI (ABD DOLARI);BIST METAL PRODUCTS MACH. RETURN (USD);USD;06/01/2023;8685.67
115;XKAGT_CFNNTLTL;BIST ORMAN KAGIT BASIM GETIRI;BIST WOOD PAPER PRINTING RETURN;TRY;06/01/2023;7476.53
116;XKAGT_CFNNTLUS;BIST ORMAN KAGIT BASIM GETIRI (ABD DOLARI);BIST WOOD PAPER PRINTING RETURN (USD);USD;06/01/2023;2320.38
117;XKAGT_CFNNTLER;BIST ORMAN KAGIT BASIM GETIRI (EURO);BIST WOOD PAPER PRINTING RETURN (EURO);EUR;06/01/2023;2587.77
118;XTAST_CFNNTLTL;BIST TAS TOPRAK GETIRI;BIST NONMETAL MIN. PRODUCT RETURN;TRY;06/01/2023;15706.41
119;XTAST_CFNNTLUS;BIST TAS TOPRAK GETIRI (ABD DOLARI);BIST NONMETAL MIN. PRODUCT RETURN (USD);USD;06/01/2023;4874.57
120;XTAST_CFNNTLER;BIST TAS TOPRAK GETIRI (EURO);BIST NONMETAL MIN. PRODUCT RETURN (EURO);EUR;06/01/2023;5436.29
121;XTEKS_CFNNTLTL;BIST TEKSTIL DERI GETIRI;BIST TEXTILE LEATHER RETURN;TRY;06/01/2023;4582.12
