KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
109;XKAGT;BIST ORMAN KAGIT BASIM;BIST WOOD PAPER PRINTING;TRY;06/01/2023;4805.75;4633.25;4409.22;4835.98
110;XKAGT_CFNPTLUS;BIST ORMAN KAGIT BASIM (ABD DOLARI);BIST WOOD PAPER PRINTING (USD);USD;06/01/2023;1491.49;1491.49;1491.49;1491.49
111;XKAGT_CFNPTLER;BIST ORMAN KAGIT BASIM (EURO);BIST WOOD PAPER PRINTING (EURO);EUR;06/01/2023;1663.37;1663.37;1663.37;1663.37
112;XTAST;BIST TAS TOPRAK;BIST NONMETAL MIN. PRODUCT;TRY;06/01/2023;5330.7;5098.56;4893.68;5352.03
113;XTAST_CFNPTLUS;BIST TAS TOPRAK (ABD DOLARI);BIST NONMETAL MIN. PRODUCT (USD);USD;06/01/2023;1654.41;1654.41;1654.41;1654.41
114;XTAST_CFNPTLER;BIST TAS TOPRAK (EURO);BIST NONMETAL MIN. PRODUCT (EURO);EUR;06/01/2023;1845.06;1845.06;1845.06;1845.06
115;XTEKS;BIST TEKSTIL DERI;BIST TEXTILE LEATHER;TRY;06/01/2023;2994.95;2867.45;2718.8;3012.61
116;XTEKS_CFNPTLUS;BIST TEKSTIL DERI (ABD DOLARI);BIST TEXTILE LEATHER (USD);USD;06/01/2023;929.5;929.5;929.5;929.5
117;XTEKS_CFNPTLER;BIST TEKSTIL DERI (EURO);BIST TEXTILE LEATHER (EURO);EUR;06/01/2023;1036.61;1036.61;1036.61;1036.61
118;XUHIZ;BIST HIZMETLER;BIST SERVICES;TRY;06/01/2023;4529.69;4333.55;4197.29;4578.94
119;XUHIZ_CFNPTLUS;BIST HIZMETLER (ABD DOLARI);BIST SERVICES (USD);USD;06/01/2023;1405.81;1405.81;1405.81;1405.81
120;XUHIZ_CFNPTLER;BIST HIZMETLER (EURO);BIST SERVICES (EURO);EUR;06/01/2023;1567.81;1567.81;1567.81;1567.81
121;XELKT;BIST ELEKTRIK;BIST ELECTRICITY;TRY;06/01/2023;427.27;408.27;390.58;432.34
122;XELKT_CFNPTLUS;BIST ELEKTRIK (ABD DOLARI);BIST ELECTRICITY (USD);USD;06/01/2023;132.61;132.61;132.61;132.61
123;XELKT_CFNPTLER;BIST ELEKTRIK (EURO);BIST ELECTRICITY (EURO);EUR;06/01/2023;147.89;147.89;147.89;147.89
124;XILTM;BIST ILETISIM;BIST TELECOMMUNICATION;TRY;06/01/2023;1043.48;989.11;950.2;1072.6
125;XILTM_CFNPTLUS;BIST ILETISIM (ABD DOLARI);BIST TELECOMMUNICATION (USD);USD;06/01/2023;323.85;323.85;323.85;323.85
126;XILTM_CFNPTLER;BIST ILETISIM (EURO);BIST TELECOMMUNICATION (EURO);EUR;06/01/2023;361.17;361.17;361.17;361.17
127;XINSA;BIST INSAAT;BIST CONSTRUCTION;TRY;06/01/2023;7505.9;7006.1;6717.63;7527.92
128;XINSA_CFNPTLUS;BIST INSAAT (ABD DOLARI);BIST CONSTRUCTION (USD);USD;06/01/2023;2329.5;2329.5;2329.5;2329.5
129;XINSA_CFNPTLER;BIST INSAAT (EURO);BIST CONSTRUCTION (EURO);EUR;06/01/2023;2597.94;2597.94;2597.94;2597.94
130;XSPOR;BIST SPOR;BIST SPORTS;TRY;06/01/2023;1798.89;1695.84;1662.62;1798.89
131;XSPOR_CFNPTLUS;BIST SPOR (ABD DOLARI);BIST SPORTS (USD);USD;06/01/2023;558.3;558.3;558.3;558.3
132;XSPOR_CFNPTLER;BIST SPOR (EURO);BIST SPORTS (EURO);EUR;06/01/2023;622.63;622.63;622.63;622.63
133;XTCRT;BIST TICARET;BIST W. AND RETAIL TRADE;TRY;06/01/2023;8228.21;8078.43;7800.37;8327.15
134;XTCRT_CFNPTLUS;BIST TICARET (ABD DOLARI);BIST W. AND RETAIL TRADE (USD);USD;06/01/2023;2553.67;2553.67;2553.67;2553.67
135;XTCRT_CFNPTLER;BIST TICARET (EURO);BIST W. AND RETAIL TRADE (EURO);EUR;06/01/2023;2847.94;2847.94;2847.94;2847.94
136;XTRZM;BIST TURIZM;BIST TOURISM;TRY;06/01/2023;751.15;728.73;711.51;757.82
137;XTRZM_CFNPTLUS;BIST TURIZM (ABD DOLARI);BIST TOURISM (USD);USD;06/01/2023;233.12;233.12;233.12;233.12
138;XTRZM_CFNPTLER;BIST TURIZM (EURO);BIST TOURISM (EURO);EUR;06/01/2023;259.99;259.99;259.99;259.99
139;XULAS;BIST ULASTIRMA;BIST TRANSPORTATION;TRY;06/01/2023;15665.75;14880.78;14599.27;15838.16
